File,Used by,Required variables / contents
annual_river_shelf_metrics_1979_2024.mat,"Figures 8-11, S2-S3; consistency checks","systems, years, HSI_JAS, HSI_JAS_dt, HSI_JAS_z, SIC_JAS, SIC_JAS_dt, SIC_JAS_z, Q_MaySep_km3, Q_MaySep_dt, Q_MaySep_z, R_HSI_Q, P_HSI_Q, R_HSI_SIC, P_HSI_SIC"
arctic_hsi_climatology_1979_2024.mat,Figure 3,"lonGrid, latGrid, HSI_JAS_clim"
marginal_sea_salinity_profiles_1979_2024.mat,Figure 2,"SAL_MONTHLY, TIME_COMMON, depth, sea_names; preferably NUM_MONTHLY and DEN_MONTHLY"
runoff_salinity_distance_bins_1979_2024.mat,"Figure 5, Figure S1","SAL_DIST, N_VALID_CELLS, TIME_COMMON, dist_edges, dist_centers"
domain_sensitivity_hsi_sic_1979_2024.mat,Figure 6,"Rmat, Pmat, Nmat, radii_km, center_offset, riverNames; TS_HSI and TS_SIC recommended"
sea_ice_monthly_1979_2024.mat,"Figures 3 and 9","sic monthly gridded field, 1979-01 to 2024-12; retains the scale used by the analysis"
sea_ice_grid_coordinates.mat,"Figures 3 and 9","lon, lat on the SIC grid"
wind_speed_JAS_1979_2024.mat,"Figure 10, Figure S2","V10 (or U10 if that is the variable name in the archived working file), 46 x 6 or 6 x 46"
surface_air_temperature_JAS_1979_2024.mat,"Figure 10, Figure S2","SAT, 46 x 6 or 6 x 46"
arctic_oscillation_monthly_1979_2024.mat,"Figure 10, Figure S2","AO_index, 552 monthly values"
discharge_mackenzie_1972_2024.mat,"Figures 4-5, Figure S1","discharge_m3s monthly series (m3 s-1); legacy discharge8 also accepted by loader"
discharge_yukon_1972_2024.mat,"Figures 4-5, Figure S1","discharge_m3s monthly series (m3 s-1); legacy discharge8 also accepted by loader"
discharge_kolyma_1972_2024.mat,"Figures 4-5, Figure S1","discharge_m3s monthly series (m3 s-1); legacy discharge8 also accepted by loader"
discharge_lena_1972_2024.mat,"Figures 4-5, Figure S1","discharge_m3s monthly series (m3 s-1); legacy discharge8 also accepted by loader"
discharge_yenisei_1972_2024.mat,"Figures 4-5, Figure S1","discharge_m3s monthly series (m3 s-1); legacy discharge8 also accepted by loader"
discharge_ob_1972_2024.mat,"Figures 4-5, Figure S1","discharge_m3s monthly series (m3 s-1); legacy discharge8 also accepted by loader"
geospatial/basin_mackenzie.mat,"Figures 1, 7, 12","2 x N [longitude; latitude] basin boundary; original variable name may be retained"
geospatial/basin_yukon.mat,"Figures 1, 7, 12","2 x N basin boundary"
geospatial/basin_kolyma.mat,"Figures 1, 7, 12","2 x N basin boundary"
geospatial/basin_lena.mat,"Figures 1, 7, 12","2 x N basin boundary"
geospatial/basin_yenisei.mat,"Figures 1, 7, 12","2 x N basin boundary"
geospatial/basin_ob.mat,"Figures 1, 7, 12","2 x N basin boundary"
geospatial/arctic_marginal_seas.shp,"Figures 1, 3, 7, 12","Shapefile plus .dbf/.shx/.prj sidecars"
geospatial/major_rivers_naturalearth.shp,"Figures 1 and 7","Shapefile plus .dbf/.shx/.prj sidecars"
